,year,birth_total,birth_male,birth_female,birth_rate,birth_gender_ratio,total_fertility_rate,population_total,population_male,population_female,infant_death_total,infant_death_male,infant_death_female,infant_death_unknown_gender,infant_death_rate,infant_death_gender_ratio,infant_deaths_in_total_deaths,stillbirth_total,stillbirth_male,stillbirth_female,stillbirth_unknown_gender,stillbirth_rate,stillbirth_gender_ratio,firstborn,secondborn,thirdborn,forthborn,fifthborn_and_above,weeks_under_28,weeks_28-31,weeks_32-36,weeks_37-41,weeks_over_42,mother_age_avg,mother_age_firstborn,mother_age_secondborn,mother_age_thirdborn,mother_age_under_19,mother_age_20-24,mother_age_25-29,mother_age_30-34,mother_age_35-39,mother_age_40-44,mother_age_over_45,father_age_avg,father_age_firstborn,father_age_secondborn,father_age_thirdborn,legitimate_child,illegitimate_child
0,1899,1386981,713442,673539,32.0,105.9,,43404000,21836000,21568000,213359,115077,98278,4,153.8,117.1,22.9,135727,70759,64493,475.0,89.1,109.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1900,1420534,727916,692618,32.4,105.1,,43847000,22051000,21796000,220211,118470,101740,1,155.0,116.4,24.2,137987,72257,65288,442.0,88.5,110.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1901,1501591,769494,732097,33.9,105.1,,44359000,22298000,22061000,225107,120640,104465,2,149.9,115.5,24.3,155489,81500,73573,416.0,93.8,110.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1902,1510835,773296,737539,33.6,104.8,,44964000,22606000,22358000,232652,125398,107252,2,154.0,116.9,24.3,157708,82670,74557,481.0,94.5,110.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1903,1489816,763806,726010,32.7,105.2,,45546000,22901000,22645000,226982,122045,104935,2,152.4,116.3,24.4,153920,80437,73041,442.0,93.6,110.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1904,1440371,738230,702141,31.2,105.1,,46135000,23195000,22940000,218756,117247,101508,1,151.9,115.5,22.9,147058,76893,69787,378.0,92.6,110.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1905,1452770,735948,716822,31.2,102.7,,46620000,23421000,23199000,220450,118305,102141,4,151.7,115.8,21.9,142092,74095,67660,337.0,89.1,109.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1906,1394295,726155,668140,29.6,108.7,,47038000,23599000,23439000,214148,113942,100203,3,153.6,113.7,22.4,149731,78262,71104,365.0,97.0,110.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1907,1614472,818114,796358,34.0,102.7,,47416000,23786000,23630000,244300,130983,113315,2,151.3,115.6,24.0,158814,82920,75415,479.0,89.6,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1908,1662815,850209,812606,34.7,104.6,,47965000,24041000,23924000,262801,140659,122141,1,158.0,115.2,25.5,162676,85729,76585,362.0,89.1,111.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
